title,description,published_at,source_name,url,city,state,crime_types,content_length
UnitedHealth shooting stokes mourning and glee on social media (Oliver Barnes/Financial Times),"Oliver Barnes / Financial Times:
UnitedHealth shooting stokes mourning and glee on social media  —  Jubilation among some users highlights scale of Americans' frustration over their health system  —  The killing on Wednesday of a top UnitedHealth Group execut…",2024-12-07 02:25:02+00:00,Memeorandum.com,https://www.memeorandum.com/241206/p103,,,violent,355
Pakistan court charges ex-PM Khan with instigating violence against military,An anti-terrorism court in Pakistan indicted jailed former Prime Minister Imran Khan and several close associates Thursday for allegedly inciting supporters to attack military installations during anti-government protests in 2023.,2024-12-07 02:18:13+00:00,Globalsecurity.org,https://www.globalsecurity.org/wmd/library/news/pakistan/2024/pakistan-241205-voa01.htm,,,violent,307
"Myanmar to release four Thai fishermen detained after shooting, Thais say","Myanmar is to release four Thai fishermen nearly a week after a Myanmar navy boat opened fire on them and detained them for what Myanmar said was an intrusion into its waters in the Andaman Sea, Thai officials said on Friday.",2024-12-07 02:18:13+00:00,Globalsecurity.org,https://www.globalsecurity.org/wmd/library/news/myanmar/2024/myanmar-241205-rfa03.htm,,,violent,299
98 year old Dick Van Dyke drops a new video. No ottomans were harmed in the shooting of this video [Cool],98 year old Dick Van Dyke drops a new video. No ottomans were harmed in the shooting of this video,2024-12-07 02:18:00+00:00,Fark.com,https://www.fark.com/comments/13486574/-98-year-old-Dick-Van-Dyke-drops-a-new-video-No-ottomans-were-harmed-in-shooting-of-this-video,,,violent,204
Russian Defence Ministry reports on repelling AFU attempt to invade Russian territory in Kursk region (5 December 2024),"The Armed Forces of the Russian Federation continue the operation to neutralise an enemy group, which broke into the territory of Kursk region.",2024-12-07 02:17:40+00:00,Globalsecurity.org,https://www.globalsecurity.org/wmd/library/news/ukraine/2024/12/ukraine-241205-russia-mod01.htm,,,violent,263
Opposition Leader Recovering After Violent Arrest As U.S. Warns Georgia To Halt Brutality,"TBILISI -- A Georgian opposition leader who was beaten unconscious during his arrest is recovering and expecting a court hearing, his lawyer said on December 5, as the United States firmly condemned the ruling Georgian Dream party's use of violence against de…",2024-12-07 02:17:40+00:00,Globalsecurity.org,https://www.globalsecurity.org/military/library/news/2024/12/mil-241205-rferl02.htm,,,violent,350
Guterres calls for 'serious dialogue' to end surging violence in Syria,"The UN Secretary-General appealed on Thursday for an end to the fighting in Syria, where a recent escalation raises the risk of further division in the ongoing civil war.",2024-12-07 02:17:40+00:00,Globalsecurity.org,https://www.globalsecurity.org/wmd/library/news/syria/2024/syria-241205-unnews01.htm,,,violent,241
Cameroon truck drivers ask military to protect goods destined for CAR,Road transport has failed to fully resume between Cameroon and the landlocked Central African Republic after a top-level crisis meeting this week to reopen borders sealed by Cameroon following escalating violence in C.A.R. Hundreds of truck drivers say they w…,2024-12-07 02:15:01+00:00,Globalsecurity.org,https://www.globalsecurity.org/military/library/news/2024/12/mil-241206-voa02.htm,,,violent,330
Man accused of buying gun later found at Kansas City Chiefs Super Bowl rally shooting sentenced,A 22-year-old Kansas City man accused of illegally purchasing a gun found after the February mass shooting at the Kansas City Chiefs Super Bowl parade has been sentenced to probation,2024-12-07 02:06:29+00:00,ABC News,https://abcnews.go.com/US/wireStory/man-accused-buying-gun-found-kansas-city-chiefs-116546566,,,violent,278
Good Samaritan Rescues Two Baby Girls Left in a Ditch After Car Was Stolen in Indiana,"A good Samaritan rescued two baby girls who were abandoned in a ditch near his Indiana home after the car they were in was stolen.
The post Good Samaritan Rescues Two Baby Girls Left in a Ditch After Car Was Stolen in Indiana appeared first on Breitbart.",2024-12-07 02:04:53+00:00,Breitbart News,https://www.breitbart.com/crime/2024/12/06/good-samaritan-rescues-two-baby-girls-ditch-car-stolen-indiana/,,,property,340
"On David Frum's ""The Sound of Fear on Air""",I'm a couple days behind and trying to catch up. But just absorbing the daily onslaught of fascistic pressures exhausts the soul and withers the mind. Introspectively I repeat the words to myself — merely absorbing the savage assault —...,2024-12-07 02:03:55+00:00,Pmcarpenter.com,https://www.pmcarpenter.com/2024/12/df.html,,,violent,281
"UnitedHealthcare CEO Murder Suspect May Have Used Veterinary Gun, Police Say",The suspect who fatally shot UnitedHealthcare CEO Brian Thompson in Manhattan may have used a special weapon more common on farms ... at least according to cops. NYPD Chief of Detectives Joseph Kenny told reporters Friday police investigators are…,2024-12-07 02:00:34+00:00,TMZ,https://www.tmz.com/2024/12/06/unitedhealthcare-ceo-murder-suspect-veterinary-gun/,,,violent,324
"Charlotte private school administrator accused of secret peeping, police say",CMPD said investigators got a tip on Nov. 29 and the case was assigned to the department’s sexual assault unit.,2024-12-07 01:50:22+00:00,WSOC Charlotte,https://www.wsoctv.com/news/local/charlotte-private-school-administrator-accused-secret-peeping-police-say/PSCKDZ3XJBG4TKVSAWA2LICLME/,,,violent,188
How China's cyberespionage has changed,China's cyberespionage has evolved over the last several decades from targeting entities such as government departments to the public tech sector.,2024-12-07 01:30:07+00:00,Fox News,https://www.foxnews.com/politics/heres-how-chinas-cyber-espionage-has-changed,,,white_collar,185
Scammers forge CAC certificates as Nigerians lose millions to fake declutter pages,"As platforms continue to spring up on social media to help Nigerians declutter their household items in exchange for cash, VICTOR AYENI writes that more citizens are falling victim to scammers employing various fraudulent tactics to dupe unsuspecting individu…",2024-12-07 01:28:26+00:00,The Punch,https://punchng.com/scammers-forge-cac-certificates-as-nigerians-lose-millions-to-fake-declutter-pages/,,,white_collar,343
"Police hunt mastermind behind cable theft syndicate in Sentul, Kepong","KUALA LUMPUR: Police are on the lookout for a man known as Castelo, believed to be the mastermind behind a cable theft syndicate operating in the Sentul and Kepong areas over the past five months. Read full story",2024-12-07 01:28:00+00:00,The Star Online,https://www.thestar.com.my/news/nation/2024/12/07/police-hunt-mastermind-behind-cable-theft-syndicate-in-sentul-kepong,,,property,282
12/6: CBS News Weekender,"Lana Zak reports on the latest in the investigation into the shooting of UnitedHealthCare's CEO, the November jobs report and what it says about the state of the economy, and a review of some of the year's biggest music trends with Spotify.",2024-12-07 01:23:18+00:00,CBS News,https://www.cbsnews.com/video/126-cbs-news-weekender-1/,,,violent,265
"UnitedHealthcare CEO death sparks wider outrage over health care system, insurance","The fatal shooting of UnitedHealthcare CEO Brian Thompson is surfacing the public's deep frustration with the health insurance industry. On ""CBS Mornings"" Friday , Dr. Céline Gounder, CBS News medical contributor and editor-at-large for public health at KFF H…",2024-12-07 01:21:48+00:00,Newsbreak.com,https://www.newsbreak.com/share/3704585736164-unitedhealthcare-ceo-death-sparks-wider-outrage-over-health-care-system-insurance?s=a2&amp;share_destination_id=MjQ1NDQxMjktMTczMzUzNDQ3MDc1MA%3D%3D&amp;pd=01ez33j6&amp;hl=en_US&amp;send_time=1733534470&amp;actBtn=bottomBar&amp;_f=app_share&amp;trans_data=%7B%22platform%22%3A1%2C%22cv%22%3A%2224.49.0%22%2C%22languages%22%3A%22en%22%7D&amp;sep=ns_foryou_recall_exp_24q4-v9%2Cns_foryou_rank_exp_24q4-v6%2Cns_push_exp_rt_bucketv12-v6%2Cns_foryou_blend_exp_24q4-v2%2Cns_foryou_model_exp_24q4-v3%2Cns_local_strategy_24q4_exp-v3,,,violent,343
"3 men accused of 2022 sexual assault in Hay River, N.W.T., found not guilty",,2024-12-07 01:17:41+00:00,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_bc670bd6-a712-418b-b09d-5fa8ac2ba576,,,violent,80
"UnitedHealthcare CEO shot dead in NYC: What happened, the latest on the murder","UnitedHealthcare CEO Brian Thompson was gunned down in New York City Wednesday as he was headed to the company's annual investor day. The company, the insurance arm of UnitedHealth Group, canceled the meeting.
The NYPD quickly informed the public the killing …",2024-12-07 01:17:16+00:00,Biztoc.com,https://biztoc.com/x/efeffcf2dad11188,New York,NY,violent,339
UnitedHealthcare CEO Shooting: Backpack Found in Central Park,"New details are emerging regarding the gunman who killed Brian Thompson. 
Days after the UnitedHealthcare CEO was shot and killed outside of a New York City hotel Dec. 4 at the age of 50,...",2024-12-07 01:07:55+00:00,Eonline.com,https://www.eonline.com/news/1410896/unitedhealthcare-ceo-shooting-backpack-found,New York,NY,violent,252
Search underway for murder suspect who walked away from prison work camp: Authorities,"The Idaho Department of Correction said it is searching for Kevin Nicholas Kuintzle, 33, a resident of the St. Anthony Work Camp in Fremont County.",2024-12-07 01:06:54+00:00,ABC News,https://abcnews.go.com/US/idaho-murder-suspect-escapes-work-camp/story?id=116543840,,,violent,233
UnitedHealthcare spotlight reveals pivotal AI failure,"Since the recent shooting of former UnitedHealthcare (UNH) CEO Brian Thompson in New York City, the health insurance provider has been under severe scrutiny. While the motives behind Thompson’s assassination remain unknown, the company is in full focus as the…",2024-12-07 01:06:08+00:00,Biztoc.com,https://biztoc.com/x/527b7a67e9004d4c,New York,NY,violent,314
